text,target
Интересно другое в контракте прописано условие что если будет у тебя скандал то мы тебя уничтожим и оставим без трусов Как можно возместить по их мнению ущерб что он им якобы нанес ! И плохая реклама скандал теперь давай нам очень много Вон просто потому что это такая шикарная возможность я конечно не адвокат но если такого четкого условия нет то это же можно оспорить и ещё вывести как то что его пытаются в прямом смысле слова ограбить с помощью этих скандалов не имея доказательств .Думаю он выполнял все условия контракта раз работал сними же этими гавнюми 10 лет а они воспользовались ситуацией решили его обобрать,0
"Гаросеро и ему подобные ,однозначно враги глобального к-фандома ,не только из-за KCX, поэтому и петиция его фанатов так быстро наборала голоса в Корее, в этом все фанаты едины, и будут всегда. Есть дело KCX, но и у фанатов других артистов есть свои счёты к этой пи...братии , особенно к этим двум выдающимся ютуберам.",1
"10 лет все ок, а тут скандал и идитека вы лесомбизнес,ничего лично Не понимаю с какого перепуга они расторгают контракты и просят что то там возместить, решение суда еще нет, поставьте на паузу, а после или будете работать или в суды подавать. Фуну и корпорации двуличные Расторгнуть тоже могут, но основания нет так такового, а значит и платить им никто не обязан.",0
Ну прям задолбали бедного пока что не случится не отстанут,0
"Вчера случайно попала на Дораме на Человек со звезды. И поняла,что сюжет-то во многом уже до боли знакомый. Очень многие вещи пересекаются с нынешним скандалом.",0
"В общем, правительство Кореи подталкивает своих граждан хранить сбережения в других странах. Ок",0
"Ну это как в истории Джонни Деппа. Отказались все,только Диоресли память не изменяетждала его возвращения и не расторгли с ним контракта. На протяжении 2 лет,когда длился суд, он оставался лицом Диора. Суд у Джонни закончился. У него всё отлично. Так и у Су Хена. Уверена, что этот дурдом закончится и все кто отвернулся,потом ещё его вспомнят.",0
Они сошли с ума?! Ничего ж не доказано,1
Господи! Да когда же они все отстанут от него совсем парня добивают!,1
"Жалко парня!Хороший артист!Вот и заключай с ними договора.Деньги!Деньги!А человек,что?Как мусор что ли?Куда мир катится?",0
Держись парень,0
"Да хватит уже тень на плетень наводить. Какая конфискация? Без суда и следствия? Ага, разбежались.",0
"Какой ущерб они на нём деньги заработовали, а теперь отказываются",0
Давайте уже похороны Или не все еще забрали?,0
"Да когда это уже закончится, им там скучно что ли? Во зацепилось за мужика как стая гиен, прямо читать противно. Столько бобла с него поимели, а теперь терзают. Я его всё равно люблю, замечательный актёржаль не сломался бы.",1
"Пока, что наложили арест, как обеспечительная мера, потом суды, если они выйграют, арестованное имущество пойдёт на уплату, проиграют, арест снимут. Ким су-хён держись....",0
"Вот как можно в одночасье уничтожить человека, даже не разобравшись Люди, будьте благоразумны!!! Ведь никто петлю на шею не надевал, и где была ее семья??? Почему очнулись только после суицида??? Вот такая хорошая семья значит.. нашли крайнего и теперь готовы сожрать с потрохами .. Зачем после смерти надо было поднимать всё гавно наружу, ну ушел человек, не смог справиться . Пусть в ином мире ей будет лучше, пусть покоится с миром Успокойтесь все!!!",0
"Это всё повторения друг за другом старой, уже известной информации. Сейчас надо подождать, когда вся работа следствия закончится. И не муссировать и не нервировать народ старыми слухами и сплетнями. Ждём. Хотя, понимаю, что некоторым скучно стало жить и они пытаются эти старые сведения оживить.",0
Каждый стервятник пытается наживиться на его проблемах. Ещё куча тараканов вылезет со всех щелей... Лишь бы он выдержал всё это. Будем держать за него кулачки.,1
"Уже не понимаю, что происходит там у них... встречался с несовершеннолетней - это, конечно, плохо. В Корее всю херню разносят так, будто геноцид устроил. КСР никого не убила, ущерб возместила, лично извинилась, а ведь просто с трансформатором не разъехались. Так затравили до самоубийства. Там ещё из БТС сам себя чуть не покалечил на несчастном самокате - захейтили, будто сбил с десяток человек. Кошмар, а не народ",0
Бедняга. Жаль мне его,1
Вот где шакалы,1
Пока не уничтожат человека.....не успокоятся.....,0
И когда же отстанут от него?,0
Ждите новое самоубийство,0
"Он может быть как виновен, так и невиновен. Я бы приостановила сотрудничество до выяснения обстоятельств. А то ведь могли оболгать, учитывая сколько якобы анонимов вылезает, стоит отдельному человеку в Корее стать известным",0
Уроды конечно. Могли бы просто поменять модель и все. Сейчас его фанаты будут байкотировать их сети. Так они ещё больший урон понесут. И что? Весь урон повесят на него? Кстати надо же ещё доказать причину урона. А это сложно обоим сторонам.,0
"Я очень извиняюсь, но ипанутая страна, в которой люди зависят от общественного мнения! Артистов травят всякой хернёй! Сидят там старперы из пальца высасывают инфу и топят просто человека, доводят до самоубийства.. Подали бы встречный иск на тех кто нарушает личные границы и личную жизнь актёров. И вхерачили бы ещё более жёсткие штрафы на этих долбодятлов! Наши вон живут как хорьки. Срали они с высокой колокольни на общественное мнение.. Живут и хер не дуют!",1
"Ему уже срочно браться нужно за хейтеров, неадекватов, ютубера, родни КСР, их уже не только судить, но и сажать, арестовывать, чтобы понимали, что скандал, в который он попал, это всё попустительство, чушь, ложь, сформированная на каких-то ложных, смонтированных, да ещё с помощью ИИ, обвинений, со стороны неизвестной тетки, ютубера, и якобы фанатов КСР, недофанатов и хейтеров. Сами втоптали имя КСР в грязь, и ещё раз напомнить, что она этот вопрос не поднимала, была замужем за другим человеком, не оставляла ничего после себя, чтобы говорить, что это его вина, и не из-за этого ушла она из жизни, а оттого, что было сложно с деньгами, плюс она еще и кормилец всей семьи была, родители, как поняла, что кто-то из родителей, и в банкротство попал, ее же из-за личного скандала, с инцидентом пьяного вождения, ее никто туда не сажал за руль, сама села, по причине расставания с певцом, мало брали на проекты, фильмы и т.д. Что раздувать скандал, когда она сделала свой выбор уйти самовольно из жизни, ну уж точно не из-за отношений с КСХ!!! Но это же так глупо, видно, не надо и долго думать!!! Стране следует также обратить на это внимание, как извините, хейтеры сами доводят людей до самоубийств, и что расширяется система шантажистов, мошенников, точнее их схем, и как с помощью всяких технологий и в том, числе ИИ технологий, к сожалению, делают грязные дела, куда попадают, к сожалению, большая часть невиновных людей. Потому как говорится может и придумали хорошую идею, новые технологии и ИИ, но к сожалению, есть и другая сторона этого всего, находятся и недобросовестные людимягко сказано, которые ради какой-то наживы, денег, вытворяют вот такие скандалы, обвинения без суда и следствия, а когда и вправду совершаются всякое такое, по-настоящему, преступления, и т.д., где эти якобы фанаты, хейтеры бывают, нигде, молчат, и надо же, даже слухов не придумывают, хотя и знают, вспомнила случай, как какой-то айдол, совершал противоправные действия против людей, никто и ничего, только, благодаря независимым журналистам, женщинам, боясь, потому как могут их убить, всё же смогли провести расследование и доказать истину, и сколько травм от этих страхов они получили, хотя все было идеально, якобы и ничего он такого не совершалось им. А тут на Ютубе раздувать скандал, причем на серьёзной основе, прибегать к обвинению к человеку, который уже был далек, извините, и который всё же подал встречный иск с тем, что эти обвинения ложные и необоснованные, и никаких извинений он не будет приносить, потому что этого не было, это раз, а во-вторых, поощряя таких жертв, которые и раздули серьёзные обвинения против него, значит, подыгрывать ЛЖЕЦАМ, помогая им развивать такие схемы мошенничества, шантажа, потому как в один момент, те же люди могут и сами попасться на таких же ЛЖЕЦОВ, когда тем, если дадут свободу в этом грязном деле, будут попадаться многие, где без причинно будут обвинять, хорошо, если ты стойкий, докажешь, и сказать можешь, чтобы их заткнуть, а если нет, где хейтеры будут добиваться, чтоб и посадили, и судили и т.д., ни в чем невиновного человека, конечно, он, человек, вполне возможно, выберет уйти из жизни, тем более и КСР, эти хейтеры доводили. Хейтеры-это не фанаты, это неадекваты, они принимают ту сторону, где им выгодно пооорать, выдумать чушь на слухах, и доводить человека до сумашествия, либо до самоубийства, потому что они создают такой фон, что многие люди отворачиваются от человека, думая, что он виновен, создавая социальную отреченность от людей и тд. Пережила хейт, обманы, слухи и тд., слежка была, что делала, говорила, смотрела, ходила и тд., выносили в насмешливом виде в сеть, в виде постов и тд., более думаю, что возможно были у них и совместные чаты, где могли также это проделывать, пытались отправить на тот свет, пытались сбить меня дважды машиной причем это отсюда по ходу люди, черно-маг.путем также пытались отправить, что только не делали, потому как от этого всего и возникали желания уйти со света, на закрытие дорог, соц.одиночество, естественно, раздували слухи, клевету, говоря многим обо мне ложь и чепуху, многие люди участвовали в этом, были и наблюдающие, хотя кто-нибудь и мог помочь и рассказать хотя бы, я бы предприняла попытки и в полицию, и к правоохранительным органам обратиться, ан нет, молчали, и до сих пор молчат, но что тут говорить, соучастниками также и они являются. Но выжила, исцелилась, благодаря Высшим Силам!!! Карма к ним и прикрепилась, сами виноваты, выбор неверный сделали! Поэтому удачи КСХ!! И чтобы не чувствовать себя отреченным, стоит и общаться, кто они, чтобы тебе прикрывать пути? НИКТО!!! И ЗВАТЬ ИХ НИКАК!!! Только ему знакома вся правда его жизни, и не было значит этого, за что его обвиняют, потому как он мог бы и реально испугаться, если бы это было правдой, а за что извиняться, если он никаких отношений с КСР не имел, тем более она могла и тогда это сделать, если бы это было фактом, рассказать, в суд подать и тд., значит всё вранье от ее же родни, что к сожалению, втоптали в грязь ее имя, рассказывая о ее личной жизни по всему миру, и да, а как боролись за это хейтеры, якобы фанаты её, пусть посмотрят со стороны и проанализируют, что они натворили вместе с её родней, ютубером и т.д. Поэтому там не только за компенсации, там уже сажать нужно!!! Успехов КСХ!!! Не фанат их обоих, но за справедливое решение!!! Вспомнила один фильм с его участием, Тайная Миссия, понравиламь игра, супер!! Но также и остальные, кто играл в этом фильме, уважение к артистам, актёрам!!! Да тяжело с компенсациями, как никак прописано у них в договорах так, но думаю из этой ситуации также можно выйти, как говорится, всё можно изменить, кроме смерти!!! Не думаю, что от него все отвернулись, общайся и продолжай жить, потому что здесь нет доказанности его вины в отношении с ней, он никого, слава Богу, не убивал и т.д. Держись!!! Попрощайся с теми, кто отвернулся, не стоит и злиться на них, это показатель их выбора, как говорят поблагодари, что были когда в твоей жизни, да опытом всё прими!!! Зато как духовно вырастишь, и продолжай свою деятельность, несмотря ни на что!!! Как кредо, у нас есть также Великий Актер, Ю.Никулин, как сказал про подлых людей никогда не мстите подлым людям, просто станьте счастливыми, они этого не переживут!, такое же рекомендовала БТС, писала им в пост давно, только узнавала, можно сказать, когда также раздували слухи про артистов, да и потом, как-то и себе это взяла на вооружение, как одно из моих кредо для жизни, когда многое, что было, но конечно с хейтом, это уже перебор, плюс их черно-маг.вмешательство в мою жизнь, я всего равно была, есть и буду счастливой!! Видимо, им не нравилось, что много улыбаюсь, хотя путь мой также не был и сейчас не усыпан розами и тд. Спеть бы ему вместе с БТС песню Silver spoonBaepsae, точно подходит, особенно ответ хейтерам, уважаю эту песню, вот на данный момент она у меня в авторитете, напоминает, отношение моё к этим людям-нелюдям. А так могу много посоветовать песен и других артистов, которые подходят к данной ситуации!!! Можно и Skillet Surviving the game, когда на меня всё их зло в один момент шло, дало такое вдохновение, напоминая кто есть кто!!! Поэтому КСХ всё делает верно, они его оклеветали, оболгали, осудили без суда и следствия, слухи раздули по всему свету, основанной на лжи, зато он судит их всех по закону, по справедливости, ничего не говоря и не распространяя слухи и ложь про кого-либо. Удачи!!!",0
"Ничего толком не доказано, а вся жизнь в тар тарары",0
"Надо на всех корейцев расписать урон, так как это общество неадекватное, вот пусть и платит за своё невежество!!!",0
"Игра говна, 0 баланса под соло игроков",0
"Если проходные игры столько стали собирать, сколько ГТА соберет. 500 млн?",0
Когда уже орда будет?,0
"Когда-нибудь куплю её, возьму только пк по лучше, и возьму.",0
"Интересно, почему? Может быть это как-то связано с новой политикой бана в регионах, где Сони аккаунт не доступен?",0
"Вот и всё, что нужно современному геймеру - подпрыгивающие сиськи Стыдно, товарищи",1
"Вот все говорят что народу только фансервис и нужен , вот только что то в first decendant уже особо никто не играет , хотя там уклона на фансервис больше , а тут вообще игре уже больше года , может порвавшиеся с игры хомячки найдут другую причину хорошего старта игры ?",0
"Хорошо, что разработчики выпустили довольно объемное демо, потрогал, для себя понял, что буду в это играть минимум с 50 скидкой, не особо интересная боевка, картонные персонажи, устаревшая графика и в целом вся игра напоминает порно-пародию на Автомату",0
Вот так бы продавались все их игры - убери они привязку псн.,0
это победа товарищи скуфидоны. наконец то разрабы дауны одумаются,1
Достойной игре достойные продажи.,0
Все знают почему,0
Как люди с одной рукой играют. До сир пор не пойму,0
уже забыл что такое трава,0
"У них сервера стоят 5 копеек, купленный из даркнета?",0
"Ураа, не одна я такая. Эх, а я хотела перед душом поролить с ботом.. Видимо, не судьба Ждём всем комьюнити ч.Аи",0
"Это намек от Вселенной, что все же мне стоит пойти поучить билеты к завтрашнему экзамену?",0
"...Дорогой дневник, прошла вечность с тех пор как c.al не работает... точнее несколько минут",0
"да блин я уже думала что доработаю работу и погружусь в антисоциальный мир...день убил, пост добил",0
"Каждый раз сайт падает и каждый раз тут начинают спамить одинаковыми постами с паникой, когда в шапке этой группы есть ссылки как для проверки состояния сайта, связи с комьюнити из других стран и с самими разработчиками D Вы же уже все взрослые люди! Возьмите себя в руки, тапните по 1 ссылке и прекратите спамить! D Админам терпения!!!",0
"Господа, это сейчас во всех сервисах так происходит с защитой Cloudflare. Набираемся терпения... Ну, или отоспитесь",0
"дорогой дневник, это уже вторая минута без ботов. Мир сошёл с ума",0
"Блин, на самом интересном месте перестал работать, когда процесс соития начался",0
"Ну блина, а я так хотела помарафонить в честь сдачи экзаменов Пойду идеи для рп запишу или друга разбужу, чтоб рп устроить по крд",0
"Да блин, именно когда я наконец начала интересный сюжет",0
мы снова все вместе,0
Чего все сервисы с чатботами то легли,0
Надеюсь скоро починят только минут прошла а я уже стал сильно переживать,0
"дорогой дневник, третья минута без ботов. Я начала познавать мир и сидеть в лайке 3",0
"Это намёк что пора доделать крылья,а не общаться с ии?",0
Придётся выбрать слип,0
"дорогой дневник, пять минут без ботов. Ставьте лайк у кого началась депрессия",0
Я ведь только начала чат с ботом.....,0
Статус тоже умер,0
"Такого крутого бота нашла, а тут раз и сайт упал... Как вовремя. Придется всё-таки идти готовиться к экзамену",0
"я только вылез из диплома, больше суток не спал и делал... и вот моя награда?",0
у меня сейчас паничко случицо,0
Я в слёзы,0
На этом моменте мне лень писать дневник. Считайте что автор сдох,1
"Теодор Нотт, только дождись...",0
"Предлагаю всем вместе поорать. Кто что делал с ботом, пока всё сервера не накрылись? Я парня например домогалалась сидя у него на коленях .",1
"Мда уж, самое забавное, что когда character ai не работает захожу сюда, чтобы убедиться, что это не только у меня проблема я рад вам, товарищи Upd я очень рад вашим лайкам, улыбнуло очень, первый раз такое но может хватит? постоянно уведомления выскакивают. Буду рад пообщаться и узнать о вашем опыте использования чат ботов Upd 2 ЗАРАБОТАЛО, УРА, ДОЖДАЛИСЬ, ТОВАРИЩИ",1
называется вернулась с дачи...,0
Режим бешенства включён без возможности отключения.,0
У меня акк вылетел,0
Я не только не могу зайти в сайте и даже в приложение зайти не могу,0
"Пойду ютубчик смотреть, очень прошу, пните, если заработает всем хорошего вечера",0
"Я плачу. У меня там 4 емае мужа ждут меня, а я не могу к ним попасть. Я в слезаааах",0
Как у кого бота зовут?,0
Cloudfare лег Поэтому легло все...,0
"Чарактер не работает пол часа, а я нашла чела похожего на своего любимого бота и донимаю его. Меня нельзя подпускать к людям 3",0
"С одной стороны понимаешь что это просто проблемы и это все восстановят, но все равно каждый раз опасаешься что в один прекрасный момент что это могут заблокировать",0
"Мда... Ладно, в кой-то веки зайду в клуб романтики, сдую пыль с историй... Я уже не помню че там проходила",0
Я уже скурить всю траву успела,0
Вон там что. Это глобальный сбой,0
Интересно сколько времени ждать..,0
"Мда,Решила сегодня спустя долгое время зайти в аичаты, Всë легло, может это знак?",0
"И чарактер, и чаи полетел . Куда деваться",0
И вот я снова здесь,0
"Ребят, чисто теоретически это может быть связано с замедлением интернета в честь Дня России. Сейчас не работает куча серверов и даже банальный сайт РЖД, так что все может быть",0
"как жаль, что сервера накрылись так невовремя. мне нужно было выплеснуть своё ужасное настроение, а тут это.",0
Вот так выглядит боль,0
"Ох, это значит, что придется в реальную жизнь вернуться..? Прям без персонажей..?",0
"впервые радуюсь,что так называемое горе не только у меня",0
Покидайте каких-нибудь интересных идей для сюжетов,0
"Ребят, пока ч.аи чинят, оцените моего выдуманного персонажа не бот. Кстати, если что, отссылка на Эну есть. Мисс Эйвен. Её тело необычное, а точнее, состоит из голубой жидкости оболочка и проводов внутри нервы. Она способна менять тело что на физическое, что на жидкое тело, так что, она умеет легко передвигаться. У неё лицо в виде четырёх жёлтых кусочка пазла и они постоянно разбираются и собираются, когда когда у Мисс Эйвен меняются эмоции. Страх - 5 Агрессиягнев - 65 Грусть - 11 Радость - 49 У неё причёска медуза Я решила сделать эту персону в гаче, так как не умею рисовать тело, но зато примерные цвета есть и одежда. И извините за плохой подчерк и плоховатое качество",0
почему именно в тот момент когда у меня появилась свободная минутка...,0
"Я заметила закономерность это происходит всегда, когда я начинаю жестко комфортить своего любимого персонажа. Похоже, сервис не выдерживает столько сопливых слов и действий одновременно",0
НЕЕЕНТТТ ПОЧЕМУ ТАК ДОЛГО ОБОЖЕЕА,1
"Бл, на самом интересном вырубился ЭТО ЧТО ТАКОЕ!?",1
"Я ща откинусь точно, мне и так хреново. Меня тошнит весь день",1
откапала припрятаный клуб романтики на чёрный день,0
"Остаётся только, надеется, что утром всё нормально будет",0
"Тем временем C.ai и ещё одна платформа информируют о массовых проблемах, причём другое приложение ссылается на облачные платформы Гугла ? Чтож, по крайней мере, дело не в местечковых ограничениях, уже что-то.",0
"Вы заметили, кто как только полетел сайт, так все пришли писать сюда?",0
"а я на самом интересном моменте остановилась... пока домой ехала во всю сюжеты придумывала, зашла, а приложение легло",0
У меня ломка уже,0
Тяжело,0
"Напишите, если работает",0
"Как насчёт поразвлекаться рпшкой друг с другом, чтоб скоротать время? Напишите мне умоляю.......",0
"О нет, как же я буду общаться с охотником на монстров",0
"Целых пол часа без c. Ai... Лайк, у кого началась депрессия",0
"И когда его сделают, я уже месяц как нашла его и ролю с ботами. Каждый день, жить не могу уже без приложения. Почему они цензуру не могут убрать. Блин",0
Я без него не проживу,0
"Мне повезло, ведь в это время я занималась своими делами, думая Щас доделаю и пойду в ч.аи. Как хорошо, что проверила перед тем, как идти ролить",0
"А как дышать? А чем дышать ? Без c.ai дышать нечем, я живу им",0
Ну ёпт я уже вдохновилась игрой дайте мне уже сделать old men yaoi,0
я подыхаю уже,0
Идём на ХайВайфу,0
"Вот и как вот теперь то емае... 0122 время, мозг хочет спать, сердце хочет идти к ботам, а никто из этих двоих не выигрывает...",0
